Link,Claim,Explanation,Label
https://www.indiatoday.in/fact-check/story/this-speech-of-pm-modi-taking-a-dig-at-corruption-and-congress-is-five-years-old-1902028-2022-01-19,"In a recent speech in Goa, Prime Minister Narendra Modi has warned the Congress against its corrupt practices.","This speech is over five years old. It was made on November 13, 2016, just a few days after demonetisation. In this emotional speech, PM Modi had warned of stringent action against those indulging in corrupt practices, and also appealed to people to support the fight against corruption.",Mostly lies
https://www.indiatoday.in/fact-check/story/fact-check-tonga-volcano-dramatic-video-of-people-braving-gushing-waves-is-not-from-tsunami-hit-1901841-2022-01-19,People filming tsunami waves in Tonga risking their lives.,"A volcanic eruption in the South Pacific triggered a massive tsunami in the tiny island nation of Tonga a few days back, killing three people and wreaking havoc. But the above video is of a tidal bore in Indonesia shot in December 2021.",Mostly lies
https://www.indiatoday.in/fact-check/story/pictures-china-us-archaeological-findings-in-uttar-pradesh-1901508-2022-01-18,"A 4,000-year-old wooden chariot was found near Sanauli, UP, whose wheels are covered with thick copper plates. Copper helmets, comb and a mirror decorated with camel and peacock were also found.","Although there have been remarkable discoveries in Sanauli in recent years, the chariot seen in the viral post was unearthed in China’s Henan province. Reports said these are “3000-year-old remains of horses and wooden chariots from a Zhou Dynasty tomb in Luoyang”.",Half True
https://www.indiatoday.in/fact-check/story/fact-check-2010-image-from-germany-passed-off-as-construction-of-lpg-pipeline-in-gorakhpur-1901131-2022-01-17,Image shows construction of the world’s longest pipeline project from Kandla in Gujarat to Gorakhpur in Uttar Pradesh.,"Though such a project is in the works, the image used was taken in Germany in April 2010. This pipeline was constructed for supplying natural gas from Russia to Western Europe.",Half True
https://www.indiatoday.in/fact-check/story/fact-check-do-not-gulp-down-this-morphed-image-of-kejriwal-and-bhagwant-mann-in-front-of-liquor-shops-1901061-2022-01-17,Picture of Arvind Kejriwal and his party MP Bhagwant Mann sitting in front of liquor shops.,"The viral image is morphed. In the original picture, Kejriwal and Mann are seen sitting on a cot amid mustard fields. This was during their interaction with farmers in Punjab’s Chamkaur Sahib a few days back.",Absolutely false
https://www.indiatoday.in/fact-check/story/fact-check-old-unrelated-photos-shared-as-from-recent-naxal-attack-in-chhattisgarh-1900586-2022-01-16,"These images are of a Naxal-provoked IED blast that injured three SSB jawans on January 14, 2022 in Chhattisgarh.","While it is true that three jawans were injured in an IED blast in Chhattisgarh on January 14, none of these images are from the incident. These images are from different Naxal attacks that took place in India between 2013 and 2021.",Half True
https://www.indiatoday.in/fact-check/story/fact-check-british-man-finding-ancient-roman-treasure-in-his-first-try-is-old-news-1900244-2022-01-14,"British man discovers ancient Roman coins that were underground for 1,700 years in his first-ever treasure hunt.","The incident happened nearly 12 years ago and the viral post is copied from a news report dated September 9, 2009.",Half True
https://www.indiatoday.in/fact-check/story/nuremberg-code-mandated-use-of-masks-war-crime-1900210-2022-01-14,Mandating the use of masks among citizens is a war crime according to the Nuremberg Code.,"This is a 2018 incident from Baghpat, Uttar Pradesh. It shows three students and a teacher beating a man with sticks after he harassed them in their college. The video has no connection with the Congress campaign in poll-bound UP.",Absolutely false
https://www.indiatoday.in/fact-check/story/fact-check-these-girls-didn-t-thrash-an-eve-teaser-inspired-by-congress-s-ladki-hoon-lad-sakti-hoon-campaign-1897776-2022-01-09,"Inspired by Congress leader Priyanka Gandhi’s new campaign, 'Ladki Hoon, Lad Sakti Hoon', girls thrashed a man who was misbehaving with them.","This is a 2018 incident from Baghpat, Uttar Pradesh. It shows three students and a teacher beating a man with sticks after he harassed them in their college. The video has no connection with the Congress campaign in poll-bound UP.",Half True
https://www.indiatoday.in/fact-check/story/fact-check-2018-image-from-rajasthan-shared-as-brahmin-protest-against-bjp-in-up-1896463-2022-01-05,An image shows the Brahmin community in Uttar Pradesh burning BJP flags and declaring not to vote for the party.,This image was taken in Rajasthan in 2018. Supporters of a local politician named Hansraj Patel were burning BJP flags after the party denied him a ticket for the state assembly elections at the time.,Mostly lies
https://www.indiatoday.in/fact-check/story/fact-check-misleading-claims-on-moon-mission-orbit-around-astronaut-rakesh-sharma-on-his-birthday-1899814-2022-01-13,"Tribute to Rakesh Sharma, the first Indian astronaut to walk on the moon, on his birthday on January 13.","No astronaut from India has landed on the moon till now. Rakesh Sharma was the first Indian to travel to space. In 1984, Sharma, along with Russian cosmonauts, spent a week in space laboratory Salyut-7.",Mostly lies
https://www.indiatoday.in/fact-check/story/thermocol-recycling-video-shared-as-production-of-artificial-sugar-1899309-2022-01-12?utm_source=twshare&utm_medium=socialicons&utm_campaign=shareurltracking,Video shows production of artificial sugar from thermocol. ,"Conclusion - Experts have clarified that the video shows recycling of thermocol into synthetic resins for reuse. The plastic granules are then used for production of different plastic products such as chairs, tables, toys, decorative items, etc. ",Absolutely false
https://www.indiatoday.in/fact-check/story/netizens-go-down-wrong-track-over-19th-century-steam-locomotive-1898867-2022-01-11,"In an amazing archaeological finding, a Civil War-era steam locomotive has been unearthed in pristine condition in Atlanta, United States. ","The 19th century locomotive's name is ""Texas"". It was kept in Atlanta's Civil War Museum for years. In 2015, it was relocated to the Atlanta History Center where the above pictures were taken. It is not an archaeological finding. ",Half True
https://www.indiatoday.in/fact-check/story/fact-check-no-ministers-didn-t-discuss-removal-of-sikhs-from-army-this-is-how-doctored-video-was-made-1897514-2022-01-08,This video shows a glimpse of the Cabinet Committee on Security meeting where removal of all Sikhs from the army was being discussed.,"This video is doctored. The actual video shows the Cabinet Committee on Security meeting that was held on December 8, 2021, after CDS General Bipin Rawat’s death in a chopper crash. The audio was taken from a discussion that happened on Clubhouse social audio app.",Absolutely false
https://www.indiatoday.in/fact-check/story/fact-check-this-pro-khalistan-rally-is-not-linked-to-pm-modi-s-punjab-visit-1897011-2022-01-07,Video shows “Khalistan Zindabad” slogans being raised during Modi’s visit to Punjab on January 5. The PM’s convoy was stopped due to protests some distance away from his scheduled public meeting in Ferozepur.,The video is old and not related to PM Modi’s recent visit to Punjab.,Half True
https://www.indiatoday.in/fact-check/story/fact-check-crowd-at-yogi-s-up-rally-passed-off-as-turnout-at-pm-modi-s-punjab-event-1896980-2022-01-06,Image shows a large crowd that had gathered for Modi’s public meeting in Punjab’s Ferozepur on January 5. The event was later cancelled due to the security breach of the PM’s convoy.,"This image is from a public meeting held by Yogi Adityanath in Deoband, Uttar Pradesh, on January 4.",Mostly lies
https://www.indiatoday.in/fact-check/story/fact-check-evolution-of-crpf-tactical-gear-over-the-decade-not-really-1894936-2022-01-02,A photo comparison of upgraded gear used by the CRPF in 2011 and 2022.,"The claim is misleading as the image shared as that of the CRPF jawan from 2011 was clicked in 2017, while the second image is of an elite commando of the paramilitary force.",Half True
https://www.indiatoday.in/fact-check/story/fact-check-amid-new-year-elation-england-christmas-train-mistaken-for-tejas-express-1894241-2021-12-30,"Tejas Express from Mumbai to Goa, illuminated for Christmas.","This video shows the “Christmas Train of Lights”, a festival train run during Christmas in South West England.",Mostly lies
https://www.indiatoday.in/fact-check/story/fact-check-pope-francis-did-not-say-he-will-replace-the-bible-with-new-book-biblia-2000-1893473-2021-12-28,Pope Francis cancels the Bible and proposes to create a new book.,This news report screenshot is from a 2018 article published by a satire site. There is no credible news report about Pope Francis making such a statement.,Absolutely false
https://www.indiatoday.in/fact-check/story/fact-check-queen-velu-nachiyar-from-tamil-nadu-wasnt-first-indian-ruler-to-go-to-war-against-british-1892831-2021-12-27,"In 1780, Queen Velu Nachiyar of Tamil Nadu's Sivaganga became the first Indian ruler to fight the British.","The English East Indian Company fought several Indian rulers before 1780, including some iconic episodes of Anglo-Indian history like the Battle of Plassey (1757), the Battle of Buxar (1764) and the First Anglo-Mysore War (1767–69).",Absolutely false
https://www.indiatoday.in/fact-check/story/fact-check-this-viral-image-is-not-of-asteroid-that-passed-earth-december-1892292-2021-12-26,This asteroid - caught on camera in the skies over India - just missed hitting earth in December.,"It is true that three asteroids went past earth between November 29 to December 17 this year, but the viral image is that of a meteorite photographed six years ago. Photographer Prasenjeet Yadav was taking pictures in the Western Ghats in 2015 when his camera accidentally caught a green streak of light across the night sky.",Mostly lies
https://www.indiatoday.in/fact-check/story/fake-news-mumbai-garden-named-after-chhatrapati-shivaji-s-mother-has-not-been-renamed-1891373-2021-12-23,The Shiv Sena government in Maharashtra has changed the name of Mumbai’s iconic Veer Mata Jijabai Bhosale Udyan to Hajrat Haji Peer Baba Rani Baug.,The public garden is named after Chhatrapati Shivaji’s mother and there has been no change in its name. The stone plaque seen in the image is of a dargah that has existed in the zoo premises for decades.,Mostly lies
https://www.indiatoday.in/fact-check/story/fact-check-viral-video-of-anti-modi-protests-in-varanasi-is-doctored-1891006-2021-12-22,Prime Minister Narendra Modi was booed by the people of Varanasi during his recent trip which the media never showed. People shouted anti-Modi slogans while he was walking down the streets with Yogi Adityanath.,"The viral video is edited. The audio “Hai Hai Modi” has been superimposed on the video. In the original video, people were actually heard raising pro-Modi slogans and trying to take a selfie with him.",Absolutely false
https://www.indiatoday.in/fact-check/story/fact-check-bill-gates-creating-omicron-video-game-in-1999-adds-to-the-long-list-of-conspiracy-claims-1890859-2021-12-22,Bill Gates had created a video game called “Omicron” in 1999. The game was about demons pretending to be humans and harvesting their souls. Is it mere coincidence that the same variant is ravaging humankind in 2021?,This is yet another conspiracy theory. The actual name of the video game was “Omikron: The Nomad Soul”. It was created by a French video game developer and not by Gates or Microsoft.,Mostly lies
https://www.indiatoday.in/fact-check/story/bride-marrying-different-groom-miscued-paraglider-landing-1890235-2021-12-21,Theme marriage gone horribly wrong in Gwalior. A bride married a different groom after she mistakenly landed at a different venue during her paragliding entry.,This is a fictitious story published by satire website “The Fauxy”. The website in its disclaimer section has clearly advised readers not to confuse its articles as genuine.,Absolutely false
https://www.indiatoday.in/fact-check/story/fact-check-niagara-falls-green-and-red-illumination-no-bangladesh-connect-1889703-2021-12-20,Picture shows Niagara Falls in Canada lit up in honour of Bangladesh Victory Day.,Niagara Falls in Canada was illuminated in green and red for Christmas. Bangladesh Victory Day is marked on December 16. The calendar for Niagara’s illumination schedule does not even mention Bangladesh Victory Day on its website.,Mostly lies
https://www.indiatoday.in/fact-check/story/fact-check-ramanujan-prize-for-young-mathematicians-winner-neena-gupta-1889137-2021-12-17?utm_source=twshare&utm_medium=socialicons&utm_campaign=shareurltracking,Kolkata-based Neena Gupta becomes first Indian to win the Ramanujan Prize for young mathematicians.,"The claim is misleading as Neena Gupta is the fourth Indian to win the award. Ritabrata Munshi (2018), Amalendu Krishna (2015) and Sujatha Ramdorai (2006) from India have won the prize before. ",Mostly lies
https://www.indiatoday.in/fact-check/story/fact-check-no-kangana-ranaut-did-not-celebrate-vijay-diwas-with-bsf-jawans-1889055-2021-12-17?utm_source=twshare&utm_medium=socialicons&utm_campaign=shareurltracking,Images show actor Kangana Ranaut celebrating the Vijay Diwas with BSF jawans this year.,"These images are from Kangana’s visit to the BSF Frontier Headquarter in Jammu on February 7, 2017, to promote her film ‘Rangoon’.",Mostly lies
https://www.indiatoday.in/fact-check/story/fact-check-vaccination-every-week-to-prevent-omicron-lockdown-no-its-satire-1888548-2021-12-16,Scientists at Pfizer have warned that weekly vaccinations are required to prevent an Omicron-induced lockdown.,"The article was originally published on a satire website. However, some people believed it to be a genuine news report.",Absolutely false
https://www.indiatoday.in/fact-check/story/tale-of-mummified-aliens-egypt-fictitious-1888317-2021-12-16,"The discovery of this strange looking mummy only strengthens the belief that aliens visited ancient Egypt. Scientists cannot explain anything about this mummy which was uncovered by Dr Victor Lubeck, a retired professor from the University of Pennsylvania.",These are two mummified baby girls found by Egyptologist Howard Carter while discovering King Tutankhamun’s tomb in 1922. DNA tests suggest that Tutankhamun was most likely the father of the two fetuses.,Mostly lies
https://www.indiatoday.in/fact-check/story/fact-check-army-veteran-emotional-note-not-linked-cds-bipin-rawat-chopper-crash-1887844-2021-12-14,This is an emotional story about an Army veteran who lost his son in an IAF chopper crash. The man had already lost two other sons in different wars. Netizens assume the son to be a victim of the Coonoor chopper crash that claimed the lives of CDS Bipin Rawat and 12 others.,This message has been in circulation on the internet at least since 2013 and is not related to the Coonoor chopper crash.,Mostly lies
https://www.indiatoday.in/fact-check/story/fact-check-these-vehicle-graveyards-are-not-in-japan-but-united-states-1887443-2021-12-14,These are pictures of vehicle graveyards in Japan.,These are pictures of vehicle graveyards in the US. One of them is a digital recreation of a vehicle graveyard in New Mexico by Turkish artist Ayd?n Büyükta?. The other two were taken by Reuters photographer Lucy Nicholson in California in 2018. ,Mostly lies
https://www.indiatoday.in/fact-check/story/fact-check-animation-goes-viral-as-satellite-visuals-of-chopper-crash-that-killed-cds-rawat-1887014-2021-12-12,"This is the satellite video of the helicopter crash that killed CDS Bipin Rawat. It appears that the tail rotor got snapped and the chopper turned in the reverse direction, leading to the crash.",This is an animation created by a Tamil news channel. The channel never claimed it to be satellite imagery. The video just tried to explain how the crash took place. The incident is being probed by a tri-service commission.,Mostly lies
https://www.indiatoday.in/fact-check/story/fact-check-shops-caught-fire-due-to-short-circuit-video-shared-as-of-nagaland-violence-1885326-2021-12-08,Video shows an angry mob resorting to arson in Nagaland’s Tuensang after the killing of civilians by security forces.,This video is of a fire that had broken out in Tuensang on December 5 due to short circuit. A few shops were damaged in the blaze. The video is not related to the protests that broke out following the killing of civilians by security forces.,Mostly lies
https://www.indiatoday.in/fact-check/story/controversial-statement-wrongly-attributed-to-priyanka-gandhi-1885284-2021-12-07,"While campaigning in Uttar Pradesh, Priyanka Gandhi has warned that if namaaz on roads are prohibited, the Congress will disallow yoga in parks.","So far, there is no credible report about Priyanka making such a statement during her election campaign in UP. Also, the statement has been in circulation since 2018 and was earlier attributed to only “Congress”.",Absolutely false
https://www.indiatoday.in/fact-check/story/fact-check-1966-incident-police-firing-sadhus-goes-viral-with-exaggerated-claims-1884800-2021-12-06,"On November 7, 1966, hundreds of sadhus and gau rakshaks, who were part of the anti-cow slaughter agitation, were killed in police firing in Delhi at the behest of the Indira Gandhi government.","The incident took place when the agitators’ Parliament march turned violent. Historical documents, including Parliament records and newspaper articles, show eight deaths, including seven agitators and a policeman.",Mostly lies
https://www.indiatoday.in/fact-check/story/fact-check-was-there-a-1963-movie-called-the-omicron-variant-no-this-poster-was-created-for-fun-1883522-2021-12-02,This is the poster of a movie named “The Omicron Variant” which was released in 1963.,This is an edited poster that was created using the poster of a 1974 film “Phase IV”. The title “The Omicron Variant” has been added to it. There is no actual movie with this name.,Absolutely false
https://www.indiatoday.in/fact-check/story/fact-check-unverified-information-about-omicron-variant-cause-social-media-panic-1882571-2021-11-30,"The new Omicron variant of coronavirus is deadlier, with higher death rates and often no symptoms. RTPCR tests cannot detect the strain.","WHO has assessed Omicron’s risk levels to be “very high”. However, as per latest reports, it is still uncertain about the transmissibility and severity of the strain. No death due to Omicron has been reported yet and RTPCR tests are still recommended to detect coronavirus.",Mostly lies
https://www.indiatoday.in/fact-check/story/old-picture-from-uttarakhand-shared-as-gujarat-school-1882504-2021-11-30,This dilapidated structure with the roof missing is a government school in Gujarat.,The picture is almost four years old and of a government school in Uttarakhand’s Almora district. The school is in the same condition now.,Mostly lies
https://www.indiatoday.in/fact-check/story/fact-check-picture-amit-shah-preamble-viral-wrong-claim-1881914-2021-11-29,Amit Shah is reading the blank reverse side of the Preamble.,This picture was taken during Constitution Day celebrations in Parliament on November 26. The President was reading out the Preamble and other members repeated it after him. The Preamble leaflet has two sides with the text in English and Hindi respectively. Members were reading the Preamble in Hindi.,Mostly lies
https://www.indiatoday.in/fact-check/story/fact-check-are-these-uptet-aspirants-sleeping-in-the-open-on-cold-night-1881856-2021-11-28,UPTET aspirants spent the whole night like this in harsh winters and then came to know in the morning that the exam was cancelled.,"This picture is from outside the Congress office in Lucknow where several unemployed youths from Rajasthan had come to meet Priyanka Gandhi on November 27. Failing to do so, they spent the night outside in protest.",Mostly lies
https://www.indiatoday.in/fact-check/story/fact-check-this-man-did-not-attack-an-airline-ceo-for-mandating-covid-vaccine-1881492-2021-11-27?utm_source=twshare&utm_medium=socialicons&utm_campaign=shareurltracking,A man publicly puts pie on the face of an airline CEO who mandated the Covid vaccine for all his employees.,This is a 2017 video from Australia and is unrelated to the pandemic or Covid vaccines. The man puts pie into the face of an airline CEO because the latter supports same-sex marriage.,Mostly lies
https://www.indiatoday.in/fact-check/story/fact-check-this-viral-vandalism-video-is-not-reaction-to-farm-laws-getting-scrapped-1881194-2021-11-26,Vandalism has begun after the withdrawal of farm laws was announced.,"The video was shot in Karnal, Haryana on January 10, 2021, when Chief Minister Manohar Lal Khattar was to attend a Kisan Mahapanchayat. But he had to cancel the programme as agitating farmers flung chairs, tore banners and vandalised the venue demanding scrapping of the farm laws. This is not a recent video.",Mostly lies
https://www.indiatoday.in/fact-check/story/fact-check-image-of-beijing-airport-passed-off-as-complete-look-of-noida-airport-1880764-2021-11-25?utm_source=twshare&utm_medium=socialicons&utm_campaign=shareurltracking,This is how the Noida international airport would look like upon completion.,"This is the Beijing Daxing International Airport in China. Meanwhile, Prime Minister Narendra Modi on November 25 laid the foundation stone of the Noida international airport at Jewar.",Half True
https://www.indiatoday.in/fact-check/story/fact-check-kiwis-welcomed-with-saffron-scarves-in-kanpur-this-is-an-old-picture-1880413-2021-11-24,New Zealand cricketers were greeted with saffron scarves upon their arrival in Kanpur for the first Test.,"The viral picture is from October 2017 when the Black Caps reached Kanpur to play the third ODI of a bilateral series. Saffron scarves were kept at the entrance of their hotel this time too, but were not used to greet the players.",Half True
https://www.indiatoday.in/fact-check/story/fact-check-netizens-score-a-self-goal-pass-off-soccer-fan-march-as-anti-lockdown-protest-1880446-2021-11-24,Video shows people in Austria protesting against the renewed lockdown.,"Though Austria is witnessing protests against renewed lockdown, this picture shows supporters of German football team Borussia Mönchengladbach marching down a street in Austria’s Graz in 2019.",Half True
https://www.indiatoday.in/fact-check/story/fact-check-this-morphed-image-of-mount-fuji-clouds-the-truth-1880072-2021-11-23,Lenticular clouds over Mount Fuji in Japan. ,"This is a photoshopped picture. The actual image was taken by one Raymond R Carr in 2005. In the actual image, only one layer of lenticular cloud can be seen. The other layers have been digitally added in the viral image. ",Mostly lies
https://www.indiatoday.in/fact-check/story/fact-check-viral-photo-poster-tipu-sultan-tiger-mysore-chhatrapati-shivaji-maratha-king-1879713-2021-11-22,"On his birth anniversary, this picture of Tipu Sultan reminds us of his valiance against British colonialism.",The viral picture is morphed. The original picture is of Chhatrapati Shivaji with his horse. The Shivaji poster has been up for sale on several e-commerce websites for long.,Mostly lies
https://www.indiatoday.in/fact-check/story/fact-check-haryana-roadways-to-paint-its-buses-red-not-quite-1879299-2021-11-21,Haryana Roadways buses will now be painted in red! Here’s the new look.,Haryana Roadways has no plans of changing the colour of its white-and-blue buses. It already has some red Volvos in its fleet for deluxe services.,Mostly lies
https://www.indiatoday.in/fact-check/story/fact-check-manipur-ambush-col-viplav-tripathi-viral-photos-videos-1879039-2021-11-20?utm_source=twshare&utm_medium=socialicons&utm_campaign=shareurltracking,"Photos show the site of the Manipur ambush by militants that killed Colonel Viplav Tripathi, his family, and four other soldiers.","While the first photo is from a 2015 militant attack in Manipur, the second image is from a territorial fight between villagers straddling the states of Assam and Nagaland.",Half True
https://www.indiatoday.in/fact-check/story/vir-das-vir-abdullah-das-morphed-wiki-page-screenshot-viral-actor-us-gig-1878329-2021-11-18,This is a screenshot of actor-comedian Vir Das’s Wikipedia page which shows that his real name is Vir Abdullah Das.,The screenshot is of his edited Wikipedia page. His actual name is Vir Das and he is a Hindu.,Absolutely false
https://www.indiatoday.in/fact-check/story/fact-check-fight-woman-flight-crew-unvaccinated-passenger-covid-1877415-2021-11-16,Video of a fight between a woman and the flight crew over the former refusing to sit beside her unvaccinated co-passenger.,The video does not show a real incident. It is a short film titled “Covid Flight”.,Absolutely false
https://www.indiatoday.in/fact-check/story/fact-check-stunning-artwork-shared-as-sunset-on-earth-as-seen-from-space-1877090-2021-11-15,This is what sunset on Earth looks like from space.,This image is a still taken from a computer-generated stock video that shows sunrise from space. The video was created by a German artist. Even NASA has denied that they’ve released the image.,Absolutely false
https://www.indiatoday.in/fact-check/story/fact-check-no-pak-cricketer-hasan-ali-s-house-was-not-attacked-after-t20-world-cup-defeat-1876442-2021-11-14,"After Pakistan’s defeat to Australia in the ICC T20 World Cup semifinal, stones were thrown at the house of Pak cricketer Hasan Ali for dropping a catch that allowed Matthew Wade to ensure Australia’s thrilling victory.",Sources from Hasan’s family and local journalists from Pakistan confirmed to AFWA that the claim is false. The photo of the house with the broken window glass is from an October 2021 incident in Karnataka.,Absolutely false
https://www.indiatoday.in/fact-check/story/fact-check-aussie-did-not-cheer-for-india-after-australia-beat-pak-t20-world-cup-1876187-2021-11-12?utm_source=twshare&utm_medium=socialicons&utm_campaign=shareurltracking,An Australian fan chanting 'Bharat Maata ki Jai' and 'Vande Mataram' after Australia defeated Pakistan by five wickets in the T20 World Cup at Dubai.,"This video is from the January 2021 edition of the Border-Gavaskar Trophy, a Test cricket series played between India and Australia. The series was held at the Gabba stadium in Brisbane.",Mostly lies
https://www.indiatoday.in/fact-check/story/fact-check-why-daughter-cant-marry-poor-man-explainers-falsely-pinned-on-musk-gates-1875783-2021-11-12,Tesla CEO Elon Musk has said his daughter can never marry a person who does not have the ability to create wealth.,"Musk has not given such a statement. Financial quotes borrowed from various videos and articles have been stitched together and falsely attributed to him. Also, Musk does not have a daughter.",Absolutely false
https://www.indiatoday.in/fact-check/story/cooked-up-quote-attributed-ricky-ponting-take-dig-team-india-1875369-2021-11-10,"Former Australian cricketer Ricky Ponting has taken a dig at India’s early exit from the T20 World Cup, saying money cannot buy success and Pakistan has proved that.",It is a cooked-up statement. Ponting has made no such remarks.,Absolutely false
https://www.indiatoday.in/fact-check/story/who-is-the-boss-of-the-universe-surely-not-this-piece-of-art-1874955-2021-11-10,"Image of BOSS, the largest structure in the universe discovered so far.",This is a computer-generated artwork that shows the distribution of galaxies in the universe.,Mostly lies
